Altitude - municípios - divisão político administrativa 2000
Sigla;Código;Município;1998;
AC;1200013;Acrelândia;25;
AC;1200054;Assis Brasil;239;
AC;1200104;Brasiléia;172;
AC;1200138;Bujari;50;
AC;1200179;Capixaba;40;
AC;1200203;Cruzeiro do Sul;182;
AC;1200252;Epitaciolândia;0;
AC;1200302;Feijó;153;
AC;1200328;Jordão;278;
AC;1200336;Mâncio Lima;195;
AC;1200344;Manoel Urbano;162;
AC;1200351;Marechal Thaumaturgo;190;
AC;1200385;Plácido de Castro;136;
AC;1200393;Porto Walter;195;
AC;1200401;Rio Branco;153;
AC;1200427;Rodrigues Alves;0;
AC;1200435;Santa Rosa do Purus;25;
AC;1200450;Senador Guiomard;201;
AC;1200500;Sena Madureira;150;
AC;1200609;Tarauacá;168;
AC;1200708;Xapuri;150;
AC;1200807;Porto Acre;145;
AL;2700102;Água Branca;570;
AL;2700201;Anadia;153;
AL;2700300;Arapiraca;264;
AL;2700409;Atalaia;54;
AL;2700508;Barra de Santo Antônio;10;
AL;2700607;Barra de São Miguel;2;
AL;2700706;Batalha;120;
AL;2700805;Belém;311;
AL;2700904;Belo Monte;30;
AL;2701001;Boca da Mata;132;
AL;2701100;Branquinha;100;
AL;2701209;Cacimbinhas;270;
AL;2701308;Cajueiro;102;
AL;2701357;Campestre;0;
AL;2701407;Campo Alegre;176;
AL;2701506;Campo Grande;142;
AL;2701605;Canapi;342;
AL;2701704;Capela;84;
AL;2701803;Carneiros;347;
AL;2701902;Chã Preta;463;
AL;2702009;Coité do Nóia;280;
AL;2702108;Colônia Leopoldina;140;
AL;2702207;Coqueiro Seco;31;
AL;2702306;Coruripe;16;
AL;2702355;Craíbas;252;
AL;2702405;Delmiro Gouveia;256;
AL;2702504;Dois Riachos;245;
AL;2702553;Estrela de Alagoas;0;
AL;2702603;Feira Grande;220;
AL;2702702;Feliz Deserto;6;
AL;2702801;Flexeiras;78;
AL;2702900;Girau do Ponciano;244;
AL;2703007;Ibateguara;505;
AL;2703106;Igaci;240;
AL;2703205;Igreja Nova;14;
AL;2703304;Inhapi;410;
AL;2703403;Jacaré dos Homens;135;
AL;2703502;Jacuípe;74;
AL;2703601;Japaratinga;5;
AL;2703700;Jaramataia;164;
AL;2703759;Jequiá da Praia;;
AL;2703809;Joaquim Gomes;104;
AL;2703908;Jundiá;94;
AL;2704005;Junqueiro;175;
AL;2704104;Lagoa da Canoa;283;
AL;2704203;Limoeiro de Anadia;140;
AL;2704302;Maceió;16;
AL;2704401;Major Isidoro;182;
AL;2704500;Maragogi;5;
AL;2704609;Maravilha;362;
AL;2704708;Marechal Deodoro;31;
AL;2704807;Maribondo;157;
AL;2704906;Mar Vermelho;542;
AL;2705002;Mata Grande;633;
AL;2705101;Matriz de Camaragibe;16;
AL;2705200;Messias;148;
AL;2705309;Minador do Negrão;270;
AL;2705408;Monteirópolis;228;
AL;2705507;Murici;82;
AL;2705606;Novo Lino;146;
AL;2705705;Olho d'Água das Flores;286;
AL;2705804;Olho d'Água do Casado;230;
AL;2705903;Olho d'Água Grande;118;
AL;2706000;Olivença;231;
AL;2706109;Ouro Branco;380;
AL;2706208;Palestina;160;
AL;2706307;Palmeira dos Índios;342;
AL;2706406;Pão de Açúcar;19;
AL;2706422;Pariconha;0;
AL;2706448;Paripueira;0;
AL;2706505;Passo de Camaragibe;4;
AL;2706604;Paulo Jacinto;292;
AL;2706703;Penedo;27;
AL;2706802;Piaçabuçu;3;
AL;2706901;Pilar;13;
AL;2707008;Pindoba;310;
AL;2707107;Piranhas;88;
AL;2707206;Poço das Trincheiras;292;
AL;2707305;Porto Calvo;54;
AL;2707404;Porto de Pedras;22;
AL;2707503;Porto Real do Colégio;10;
AL;2707602;Quebrangulo;366;
AL;2707701;Rio Largo;39;
AL;2707800;Roteiro;32;
AL;2707909;Santa Luzia do Norte;32;
AL;2708006;Santana do Ipanema;250;
AL;2708105;Santana do Mundaú;221;
AL;2708204;São Brás;25;
AL;2708303;São José da Laje;256;
AL;2708402;São José da Tapera;255;
AL;2708501;São Luís do Quitunde;4;
AL;2708600;São Miguel dos Campos;12;
AL;2708709;São Miguel dos Milagres;1;
AL;2708808;São Sebastião;201;
AL;2708907;Satuba;6;
AL;2708956;Senador Rui Palmeira;352;
AL;2709004;Tanque d'Arca;212;
AL;2709103;Taquarana;159;
AL;2709152;Teotônio Vilela;156;
AL;2709202;Traipu;10;
AL;2709301;União dos Palmares;155;
AL;2709400;Viçosa;210;
AM;1300029;Alvarães;75;
AM;1300060;Amaturá;58;
AM;1300086;Anamã;28;
AM;1300102;Anori;120;
AM;1300144;Apuí;135;
AM;1300201;Atalaia do Norte;65;
AM;1300300;Autazes;36;
AM;1300409;Barcelos;47;
AM;1300508;Barreirinha;19;
AM;1300607;Benjamin Constant;65;
AM;1300631;Beruri;35;
AM;1300680;Boa Vista do Ramos;32;
AM;1300706;Boca do Acre;116;
AM;1300805;Borba;45;
AM;1300839;Caapiranga;32;
AM;1300904;Canutama;55;
AM;1301001;Carauari;87;
AM;1301100;Careiro;27;
AM;1301159;Careiro da Várzea;25;
AM;1301209;Coari;10;
AM;1301308;Codajás;47;
AM;1301407;Eirunepé;124;
AM;1301506;Envira;135;
AM;1301605;Fonte Boa;62;
AM;1301654;Guajará;0;
AM;1301704;Humaitá;58;
AM;1301803;Ipixuna;190;
AM;1301852;Iranduba;60;
AM;1301902;Itacoatiara;26;
AM;1301951;Itamarati;60;
AM;1302009;Itapiranga;43;
AM;1302108;Japurá;50;
AM;1302207;Juruá;55;
AM;1302306;Jutaí;48;
AM;1302405;Lábrea;75;
AM;1302504;Manacapuru;60;
AM;1302553;Manaquiri;48;
AM;1302603;Manaus;92;
AM;1302702;Manicoré;45;
AM;1302801;Maraã;50;
AM;1302900;Maués;25;
AM;1303007;Nhamundá;25;
AM;1303106;Nova Olinda do Norte;32;
AM;1303205;Novo Airão;45;
AM;1303304;Novo Aripuanã;20;
AM;1303403;Parintins;27;
AM;1303502;Pauini;101;
AM;1303536;Presidente Figueiredo;122;
AM;1303569;Rio Preto da Eva;47;
AM;1303601;Santa Isabel do Rio Negro;60;
AM;1303700;Santo Antônio do Içá;91;
AM;1303809;São Gabriel da Cachoeira;132;
AM;1303908;São Paulo de Olivença;102;
AM;1303957;São Sebastião do Uatumã;24;
AM;1304005;Silves;46;
AM;1304062;Tabatinga;60;
AM;1304104;Tapauá;54;
AM;1304203;Tefé;75;
AM;1304237;Tonantins;55;
AM;1304260;Uarini;60;
AM;1304302;Urucará;26;
AM;1304401;Urucurituba;40;
AP;1600055;Serra do Navio;0;
AP;1600105;Amapá;8;
AP;1600154;Pedra Branca do Amaparí;0;
AP;1600204;Calçoene;12;
AP;1600212;Cutias;0;
AP;1600238;Ferreira Gomes;50;
AP;1600253;Itaubal;27;
AP;1600279;Laranjal do Jari;22;
AP;1600303;Macapá;16;
AP;1600402;Mazagão;60;
AP;1600501;Oiapoque;10;
AP;1600535;Porto Grande;60;
AP;1600550;Pracuúba;0;
AP;1600600;Santana;15;
AP;1600709;Tartarugalzinho;13;
AP;1600808;Vitória do Jari;0;
BA;2900108;Abaíra;641;
BA;2900207;Abaré;318;
BA;2900306;Acajutiba;162;
BA;2900355;Adustina;300;
BA;2900405;Água Fria;312;
BA;2900504;Érico Cardoso;688;
BA;2900603;Aiquara;198;
BA;2900702;Alagoinhas;132;
BA;2900801;Alcobaça;9;
BA;2900900;Almadina;279;
BA;2901007;Amargosa;400;
BA;2901106;Amélia Rodrigues;217;
BA;2901155;América Dourada;666;
BA;2901205;Anagé;384;
BA;2901304;Andaraí;405;
BA;2901353;Andorinha;428;
BA;2901403;Angical;470;
BA;2901502;Anguera;235;
BA;2901601;Antas;510;
BA;2901700;Antônio Cardoso;191;
BA;2901809;Antônio Gonçalves;472;
BA;2901908;Aporá;186;
BA;2901957;Apuarema;278;
BA;2902005;Aracatu;740;
BA;2902054;Araças;145;
BA;2902104;Araci;272;
BA;2902203;Aramari;394;
BA;2902252;Arataca;152;
BA;2902302;Aratuípe;36;
BA;2902401;Aurelino Leal;52;
BA;2902500;Baianópolis;667;
BA;2902609;Baixa Grande;369;
BA;2902658;Banzaê;340;
BA;2902708;Barra;406;
BA;2902807;Barra da Estiva;1026;
BA;2902906;Barra do Choça;847;
BA;2903003;Barra do Mendes;715;
BA;2903102;Barra do Rocha;142;
BA;2903201;Barreiras;452;
BA;2903235;Barro Alto;705;
BA;2903276;Barrocas;;
BA;2903300;Governador Lomanto Júnior;100;
BA;2903409;Belmonte;8;
BA;2903508;Belo Campo;819;
BA;2903607;Biritinga;249;
BA;2903706;Boa Nova;726;
BA;2903805;Boa Vista do Tupim;317;
BA;2903904;Bom Jesus da Lapa;436;
BA;2903953;Bom Jesus da Serra;600;
BA;2904001;Boninal;955;
BA;2904050;Bonito;990;
BA;2904100;Boquira;641;
BA;2904209;Botuporã;685;
BA;2904308;Brejões;611;
BA;2904407;Brejolândia;542;
BA;2904506;Brotas de Macaúbas;813;
BA;2904605;Brumado;422;
BA;2904704;Buerarema;107;
BA;2904753;Buritirama;492;
BA;2904803;Caatiba;307;
BA;2904852;Cabaceiras do Paraguaçu;210;
BA;2904902;Cachoeira;5;
BA;2905008;Caculé;587;
BA;2905107;Caém;472;
BA;2905156;Caetanos;455;
BA;2905206;Caetité;824;
BA;2905305;Cafarnaum;770;
BA;2905404;Cairu;19;
BA;2905503;Caldeirão Grande;492;
BA;2905602;Camacan;180;
BA;2905701;Camaçari;36;
BA;2905800;Camamu;40;
BA;2905909;Campo Alegre de Lourdes;477;
BA;2906006;Campo Formoso;556;
BA;2906105;Canápolis;680;
BA;2906204;Canarana;691;
BA;2906303;Canavieiras;4;
BA;2906402;Candeal;240;
BA;2906501;Candeias;97;
BA;2906600;Candiba;578;
BA;2906709;Cândido Sales;627;
BA;2906808;Cansanção;395;
BA;2906824;Canudos;402;
BA;2906857;Capela do Alto Alegre;412;
BA;2906873;Capim Grosso;416;
BA;2906899;Caraíbas;401;
BA;2906907;Caravelas;10;
BA;2907004;Cardeal da Silva;60;
BA;2907103;Carinhanha;440;
BA;2907202;Casa Nova;397;
BA;2907301;Castro Alves;278;
BA;2907400;Catolândia;650;
BA;2907509;Catu;100;
BA;2907558;Caturama;591;
BA;2907608;Central;698;
BA;2907707;Chorrochó;350;
BA;2907806;Cícero Dantas;436;
BA;2907905;Cipó;132;
BA;2908002;Coaraci;195;
BA;2908101;Cocos;559;
BA;2908200;Conceição da Feira;227;
BA;2908309;Conceição do Almeida;216;
BA;2908408;Conceição do Coité;440;
BA;2908507;Conceição do Jacuípe;219;
BA;2908606;Conde;12;
BA;2908705;Condeúba;680;
BA;2908804;Contendas do Sincorá;291;
BA;2908903;Coração de Maria;240;
BA;2909000;Cordeiros;710;
BA;2909109;Coribe;657;
BA;2909208;Coronel João Sá;200;
BA;2909307;Correntina;561;
BA;2909406;Cotegipe;472;
BA;2909505;Cravolândia;477;
BA;2909604;Crisópolis;149;
BA;2909703;Cristópolis;688;
BA;2909802;Cruz das Almas;220;
BA;2909901;Curaçá;330;
BA;2910008;Dário Meira;208;
BA;2910057;Dias d'Ávila;35;
BA;2910107;Dom Basílio;440;
BA;2910206;Dom Macedo Costa;192;
BA;2910305;Elísio Medrado;390;
BA;2910404;Encruzilhada;650;
BA;2910503;Entre Rios;162;
BA;2910602;Esplanada;142;
BA;2910701;Euclides da Cunha;472;
BA;2910727;Eunápolis;189;
BA;2910750;Fátima;100;
BA;2910776;Feira da Mata;40;
BA;2910800;Feira de Santana;234;
BA;2910859;Filadélfia;424;
BA;2910909;Firmino Alves;353;
BA;2911006;Floresta Azul;186;
BA;2911105;Formosa do Rio Preto;490;
BA;2911204;Gandu;164;
BA;2911253;Gavião;312;
BA;2911303;Gentio do Ouro;1098;
BA;2911402;Glória;250;
BA;2911501;Gongogi;115;
BA;2911600;Governador Mangabeira;204;
BA;2911659;Guajeru;628;
BA;2911709;Guanambi;530;
BA;2911808;Guaratinga;200;
BA;2911857;Heliópolis;328;
BA;2911907;Iaçu;242;
BA;2912004;Ibiassucê;574;
BA;2912103;Ibicaraí;162;
BA;2912202;Ibicoara;1027;
BA;2912301;Ibicuí;365;
BA;2912400;Ibipeba;682;
BA;2912509;Ibipitanga;492;
BA;2912608;Ibiquera;584;
BA;2912707;Ibirapitanga;113;
BA;2912806;Ibirapuã;190;
BA;2912905;Ibirataia;141;
BA;2913002;Ibitiara;889;
BA;2913101;Ibititá;782;
BA;2913200;Ibotirama;419;
BA;2913309;Ichu;280;
BA;2913408;Igaporã;765;
BA;2913457;Igrapiúna;48;
BA;2913507;Iguaí;352;
BA;2913606;Ilhéus;52;
BA;2913705;Inhambupe;179;
BA;2913804;Ipecaetá;189;
BA;2913903;Ipiaú;135;
BA;2914000;Ipirá;328;
BA;2914109;Ipupiara;731;
BA;2914208;Irajuba;542;
BA;2914307;Iramaia;607;
BA;2914406;Iraquara;687;
BA;2914505;Irará;283;
BA;2914604;Irecê;721;
BA;2914653;Itabela;130;
BA;2914703;Itaberaba;265;
BA;2914802;Itabuna;54;
BA;2914901;Itacaré;29;
BA;2915007;Itaeté;321;
BA;2915106;Itagi;258;
BA;2915205;Itagibá;185;
BA;2915304;Itagimirim;176;
BA;2915353;Itaguaçu da Bahia;44;
BA;2915403;Itaju do Colônia;167;
BA;2915502;Itajuípe;101;
BA;2915601;Itamaraju;112;
BA;2915700;Itamari;232;
BA;2915809;Itambé;346;
BA;2915908;Itanagra;44;
BA;2916005;Itanhém;210;
BA;2916104;Itaparica;15;
BA;2916203;Itapé;40;
BA;2916302;Itapebi;177;
BA;2916401;Itapetinga;279;
BA;2916500;Itapicuru;155;
BA;2916609;Itapitanga;152;
BA;2916708;Itaquara;578;
BA;2916807;Itarantim;259;
BA;2916856;Itatim;260;
BA;2916906;Itiruçu;820;
BA;2917003;Itiúba;377;
BA;2917102;Itororó;237;
BA;2917201;Ituaçu;520;
BA;2917300;Ituberá;27;
BA;2917334;Iuiú;490;
BA;2917359;Jaborandi;448;
BA;2917409;Jacaraci;900;
BA;2917508;Jacobina;463;
BA;2917607;Jaguaquara;667;
BA;2917706;Jaguarari;662;
BA;2917805;Jaguaripe;11;
BA;2917904;Jandaíra;146;
BA;2918001;Jequié;215;
BA;2918100;Jeremoabo;275;
BA;2918209;Jiquiriçá;342;
BA;2918308;Jitaúna;163;
BA;2918357;João Dourado;815;
BA;2918407;Juazeiro;368;
BA;2918456;Jucuruçu;365;
BA;2918506;Jussara;620;
BA;2918555;Jussari;196;
BA;2918605;Jussiape;538;
BA;2918704;Lafaiete Coutinho;558;
BA;2918753;Lagoa Real;525;
BA;2918803;Laje;190;
BA;2918902;Lajedão;290;
BA;2919009;Lajedinho;530;
BA;2919058;Lajedo do Tabocal;875;
BA;2919108;Lamarão;315;
BA;2919157;Lapão;775;
BA;2919207;Lauro de Freitas;30;
BA;2919306;Lençóis;394;
BA;2919405;Licínio de Almeida;852;
BA;2919504;Livramento de Nossa Senhora;475;
BA;2919553;Luís Eduardo Magalhães;;
BA;2919603;Macajuba;353;
BA;2919702;Macarani;324;
BA;2919801;Macaúbas;697;
BA;2919900;Macururé;357;
BA;2919926;Madre de Deus;5;
BA;2919959;Maetinga;600;
BA;2920007;Maiquinique;309;
BA;2920106;Mairi;468;
BA;2920205;Malhada;433;
BA;2920304;Malhada de Pedras;515;
BA;2920403;Manoel Vitorino;292;
BA;2920452;Mansidão;519;
BA;2920502;Maracás;964;
BA;2920601;Maragogipe;39;
BA;2920700;Maraú;36;
BA;2920809;Marcionílio Souza;292;
BA;2920908;Mascote;43;
BA;2921005;Mata de São João;32;
BA;2921054;Matina;509;
BA;2921104;Medeiros Neto;185;
BA;2921203;Miguel Calmon;532;
BA;2921302;Milagres;419;
BA;2921401;Mirangaba;829;
BA;2921450;Mirante;420;
BA;2921500;Monte Santo;489;
BA;2921609;Morpará;405;
BA;2921708;Morro do Chapéu;1011;
BA;2921807;Mortugaba;384;
BA;2921906;Mucugê;983;
BA;2922003;Mucuri;7;
BA;2922052;Mulungu do Morro;850;
BA;2922102;Mundo Novo;604;
BA;2922201;Muniz Ferreira;86;
BA;2922250;Muquém de São Francisco;560;
BA;2922300;Muritiba;213;
BA;2922409;Mutuípe;271;
BA;2922508;Nazaré;39;
BA;2922607;Nilo Peçanha;20;
BA;2922656;Nordestina;370;
BA;2922706;Nova Canaã;422;
BA;2922730;Nova Fátima;298;
BA;2922755;Nova Ibiá;292;
BA;2922805;Nova Itarana;560;
BA;2922854;Nova Redenção;415;
BA;2922904;Nova Soure;169;
BA;2923001;Nova Viçosa;11;
BA;2923035;Novo Horizonte;835;
BA;2923050;Novo Triunfo;460;
BA;2923100;Olindina;139;
BA;2923209;Oliveira dos Brejinhos;550;
BA;2923308;Ouriçangas;327;
BA;2923357;Ourolândia;560;
BA;2923407;Palmas de Monte Alto;802;
BA;2923506;Palmeiras;697;
BA;2923605;Paramirim;654;
BA;2923704;Paratinga;425;
BA;2923803;Paripiranga;434;
BA;2923902;Pau Brasil;169;
BA;2924009;Paulo Afonso;243;
BA;2924058;Pé de Serra;286;
BA;2924108;Pedrão;230;
BA;2924207;Pedro Alexandre;356;
BA;2924306;Piatã;1268;
BA;2924405;Pilão Arcado;394;
BA;2924504;Pindaí;610;
BA;2924603;Pindobaçu;448;
BA;2924652;Pintadas;300;
BA;2924678;Piraí do Norte;148;
BA;2924702;Piripá;618;
BA;2924801;Piritiba;554;
BA;2924900;Planaltino;691;
BA;2925006;Planalto;943;
BA;2925105;Poções;760;
BA;2925204;Pojuca;60;
BA;2925253;Ponto Novo;362;
BA;2925303;Porto Seguro;49;
BA;2925402;Potiraguá;181;
BA;2925501;Prado;4;
BA;2925600;Presidente Dutra;672;
BA;2925709;Presidente Jânio Quadros;682;
BA;2925758;Presidente Tancredo Neves;150;
BA;2925808;Queimadas;295;
BA;2925907;Quijingue;352;
BA;2925931;Quixabeira;420;
BA;2925956;Rafael Jambeiro;238;
BA;2926004;Remanso;388;
BA;2926103;Retirolândia;325;
BA;2926202;Riachão das Neves;495;
BA;2926301;Riachão do Jacuípe;219;
BA;2926400;Riacho de Santana;627;
BA;2926509;Ribeira do Amparo;180;
BA;2926608;Ribeira do Pombal;228;
BA;2926657;Ribeirão do Largo;0;
BA;2926707;Rio de Contas;999;
BA;2926806;Rio do Antônio;598;
BA;2926905;Rio do Pires;551;
BA;2927002;Rio Real;169;
BA;2927101;Rodelas;295;
BA;2927200;Ruy Barbosa;368;
