Área geográfica - censo
Sigla;Código;Estado;2018;2019;2020;2021;2022;
AC;12;Acre;164123,738;164123,964;164173,431;164173,431;164173,431;
AL;27;Alagoas;27843,295;27843,295;27830,656;27830,657;27830,657;
AM;13;Amazonas;1559168,117;1559167,889;1559167,878;1559167,879;1559255,883;
AP;16;Amapá;142470,762;142470,762;142470,762;142470,762;142470,762;
BA;29;Bahia;564722,611;564760,427;564760,427;564760,427;564760,426;
CE;23;Ceará;148894,757;148894,441;148894,442;148894,441;148894,441;
DF;53;Distrito Federal;5760,783;5760,783;5760,784;5760,784;5760,784;
ES;32;Espírito Santo;46074,444;46074,447;46074,447;46074,447;46074,447;
GO;52;Goiás;340125,715;340203,329;340242,854;340242,859;340242,858;
MA;21;Maranhão;329642,17;329642,182;329651,495;329651,495;329651,495;
MG;31;Minas Gerais;586521,120999999;586521,122999999;586513,992999999;586513,992999999;586513,990999999;
MS;50;Mato Grosso do Sul;347201,229;352084,101;352086,561;352086,561;352080,648;
MT;51;Mato Grosso;903206,997;903207,019;903207,05;903207,047;903208,362;
PA;15;Pará;1240771,069;1240882,562;1240882,471;1240882,471;1240882,471;
PB;25;Paraíba;56467,239;56467,242;56467,242;56467,242;56467,242;
PE;26;Pernambuco;98068,021;98067,881;98067,88;98067,879;98067,883;
PI;22;Piauí;251252,298;251391,99;251393,109;251393,108;251393,108;
PR;41;Paraná;199305,236;199298,979;199298,982;199298,982;199298,976;
RJ;33;Rio de Janeiro;43750,423;43750,427;43750,426;43750,426;43750,426;
RN;24;Rio Grande do Norte;52809,602;52809,602;52809,601;52809,601;52809,601;
RO;11;Rondônia;237765,233;237765,24;237765,347;237765,347;237754,173;
RR;14;Roraima;224273,831;223644,527;223644,527;223644,527;223644,527;
RS;43;Rio Grande do Sul;268584,402;268533,029;268533,022;268533,021;268516,482;
SC;42;Santa Catarina;95560,637;95560,4109999999;95560,4109999999;95560,4119999999;95560,4119999999;
SE;28;Sergipe;21926,908;21925,424;21938,184;21938,185;21938,185;
SP;35;São Paulo;248219,481;248219,481;248219,481;248219,481;248219,481;
TO;17;Tocantins;277720,404;277466,763;277423,63;277423,63;277423,631;
