Área geográfica - censo
Sigla;Código;Município;2018;2019;2020;2021;2022;
AC;1200013;Acrelândia;1807,948;1807,953;1811,613;1811,613;1811,613;
AC;1200054;Assis Brasil;4974,175;4974,174;4979,073;4979,073;4979,073;
AC;1200104;Brasiléia;3916,502;3916,505;3928,174;3928,174;3928,174;
AC;1200138;Bujari;3034,869;3034,869;3034,869;3034,869;3034,869;
AC;1200179;Capixaba;1701,974;1701,973;1705,824;1705,824;1705,824;
AC;1200203;Cruzeiro do Sul;8779,403;8779,407;8783,47;8783,47;8783,47;
AC;1200252;Epitaciolândia;1654,768;1654,769;1652,674;1652,674;1652,674;
AC;1200302;Feijó;27975,426;27975,427;27976,874;27976,874;27976,874;
AC;1200328;Jordão;5357,282;5357,282;5357,227;5357,227;5357,227;
AC;1200336;Mâncio Lima;5452,853;5453,034;5451,617;5451,617;5451,617;
AC;1200344;Manoel Urbano;10633,137;10633,137;10630,6;10630,6;10630,6;
AC;1200351;Marechal Thaumaturgo;8191,692;8191,691;8190,953;8190,953;8190,953;
AC;1200385;Plácido de Castro;1943,85;1943,85;1952,555;1952,555;1952,555;
AC;1200393;Porto Walter;6443,83;6443,829;6446,385;6446,385;6446,385;
AC;1200401;Rio Branco;8834,942;8834,942;8835,154;8835,154;8835,154;
AC;1200427;Rodrigues Alves;3076,951;3076,952;3076,342;3076,342;3076,342;
AC;1200435;Santa Rosa do Purus;6145,612;6145,612;6155,858;6155,858;6155,858;
AC;1200450;Senador Guiomard;2322,03;2322,041;2320,169;2320,169;2320,169;
AC;1200500;Sena Madureira;23753,066;23753,064;23759,512;23759,512;23759,512;
AC;1200609;Tarauacá;20171,075;20171,089;20169,485;20169,485;20169,485;
AC;1200708;Xapuri;5347,468;5347,467;5350,586;5350,586;5350,586;
AC;1200807;Porto Acre;2604,885;2604,897;2604,417;2604,417;2604,417;
AL;2700102;Água Branca;468,225;468,226;468,229;468,229;468,229;
AL;2700201;Anadia;186,134;186,134;186,134;186,134;186,134;
AL;2700300;Arapiraca;345,655;345,655;345,655;345,655;345,655;
AL;2700409;Atalaia;533,258;533,258;533,258;533,258;533,258;
AL;2700508;Barra de Santo Antônio;131,364;131,364;131,364;131,364;131,364;
