Energia elétrica - consumo final energia - quantidade
Sigla;Código;Estado;2018;2019;2020;2021;2022;
AC;12;Acre;978831,39;1080238,06;1095791,02;1094644,1;1143434,12;
AL;27;Alagoas;4708728,22;3875840,7;3922231,6;4708546,94;4970461,67;
AM;13;Amazonas;5966425,62;6142168,66;6215223;6284157,52;6713625;
AP;16;Amapá;1053678,19;1074206,71;1031096,03;1140010,01;1126481,99;
BA;29;Bahia;25092044,05;25908116,93;25050385,24;26227124,86;26243064,25;
CE;23;Ceará;11265442,52;12380261,61;12063666,79;12846757,6;12893422,88;
DF;53;Distrito Federal;6219665,08;6281782,28899999;6167639,89;6407678,55;6510600,66;
ES;32;Espírito Santo;10199952;10462904,84;9853440,94;10417216,58;10726139,89;
GO;52;Goiás;15639425;16418052,25;16525657,43;17239495,08;17763002,54;
MA;21;Maranhão;7099230,93;7510889,77;7722801,72;8146929,82;9612334,45;
MG;31;Minas Gerais;56471770,42;55594137,52;54808608,29;58696744,58;59877707,45;
MS;50;Mato Grosso do Sul;5764957,321;6142166,871;6243076,57;6286753,059;6301038,3;
MT;51;Mato Grosso;8841651,29;9480637,34;9736709,23;9755771,31;9985452,44;
PA;15;Pará;18030105,95;18191678,53;19589736,74;21142127,93;21737451,25;
PB;25;Paraíba;5406780,93;5586443,71;5586229,49;5835913,75;5750117,23;
PE;26;Pernambuco;14074849,25;14551793,8;14283254,62;15208549,65;15044005,69;
PI;22;Piauí;3408110,45;3666562,36;3678080,03;3961522;3995882;
PR;41;Paraná;31309413,2;32138406,011;31840886,339;34521636,283;35469942,7091;
RJ;33;Rio de Janeiro;39699329,78;39341045,33;37303801,07;38095569,29;38097341,4;
RN;24;Rio Grande do Norte;5702407;5788239;5674845;6038007;5849857;
RO;11;Rondônia;3153177,08;3240006,54;3349725,86;3359245,62;3572330,02;
RR;14;Roraima;942121,72;930892,73;982111,23;1073227,3;1146778,8;
RS;43;Rio Grande do Sul;30417988,25;30223664,15;29562101,69;30125869,37;30612719,76;
SC;42;Santa Catarina;24935466,77;26072075,37;25910519,37;27942368,01;28771296;
SE;28;Sergipe;3747840,34;3710816,52;3640392,779;3862888,24;3860310,45;
SP;35;São Paulo;132382335,8;133789735,42;128810084,02;137268116,55;138280630,349;
TO;17;Tocantins;2308381,58;2417650,6;2436040,73;2521737,45;2652665,98;
