População residente - 1º de julho - estimativas
Sigla;Código;Estado;2021;
AC;12;Acre;906876;
AL;27;Alagoas;3365351;
AM;13;Amazonas;4269995;
AP;16;Amapá;877613;
BA;29;Bahia;14985284;
CE;23;Ceará;9240580;
DF;53;Distrito Federal;3094325;
ES;32;Espírito Santo;4108508;
GO;52;Goiás;7206589;
MA;21;Maranhão;7153262;
MG;31;Minas Gerais;21411923;
MS;50;Mato Grosso do Sul;2830371;
MT;51;Mato Grosso;3567234;
PA;15;Pará;8760842;
PB;25;Paraíba;4059905;
PE;26;Pernambuco;9674793;
PI;22;Piauí;3280658;
PR;41;Paraná;11597484;
RJ;33;Rio de Janeiro;17463349;
RN;24;Rio Grande do Norte;3560903;
RO;11;Rondônia;1815278;
RR;14;Roraima;652713;
RS;43;Rio Grande do Sul;11463562;
SC;42;Santa Catarina;7315119;
SE;28;Sergipe;2338474;
SP;35;São Paulo;46649132;
TO;17;Tocantins;1607363;
