População residente - 1º de julho - projeção
Sigla;Código;Estado;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;
AC;12;Acre;931268;943235;955012;966579;977945;989104;1000048;1010772;1021247;1031453;1041392;1051065;1060470;1069591;1078410;1086926;1095137;1103044;1110642;1117921;1124876;1131507;1137820;1143815;1149489;1154836;1159852;1164538;1168898;1172928;1176619;1179964;1182957;1185600;1187895;1189835;1191419;1192647;
AL;27;Alagoas;3391204;3403637;3415514;3426799;3437464;3447480;3456820;3465453;3473215;3479940;3485617;3490239;3493794;3496257;3497601;3497815;3496909;3494895;3491771;3487534;3482188;3475744;3468233;3459661;3450030;3439343;3427603;3414828;3401028;3386203;3370351;3353463;3335549;3316619;3296685;3275745;3253802;3230875;
AM;13;Amazonas;4391960;4451551;4510151;4567703;4624211;4679714;4734251;4787816;4840312;4891675;4941934;4991129;5039255;5086236;5132009;5176569;5219919;5262059;5302957;5342574;5380889;5417887;5453552;5487876;5520840;5552396;5582496;5611125;5638304;5664036;5688278;5710995;5732178;5751847;5770028;5786706;5801873;5815537;
AP;16;Amapá;908689;923930;938973;953802;968401;982762;996900;1010824;1024549;1038086;1051422;1064553;1077482;1090196;1102682;1114930;1126929;1138677;1150166;1161390;1172345;1183015;1193397;1203492;1213300;1222818;1232031;1240930;1249514;1257785;1265743;1273378;1280682;1287654;1294295;1300609;1306591;1312240;
BA;29;Bahia;15084600;15129225;15170253;15207525;15240909;15270303;15295642;15316952;15333879;15346028;15353402;15355998;15353814;15346869;15335177;15318735;15297524;15271580;15241004;15205888;15166238;15122024;15073291;15020105;14962522;14900565;14834243;14763590;14688641;14609436;14525993;14438328;14346461;14250434;14150307;14046125;13937968;13825958;
CE;23;Ceará;9342908;9390560;9435907;9478838;9519244;9557007;9592073;9624466;9654132;9680942;9704871;9725938;9744180;9759629;9772281;9782155;9789317;9793834;9795742;9795059;9791826;9786100;9777877;9767129;9753853;9738051;9719721;9698820;9675292;9649120;9620296;9588823;9554693;9517922;9478556;9436622;9392152;9345192;
DF;53;Distrito Federal;3167502;3204070;3239675;3274291;3307883;3340408;3371845;3402180;3431469;3459755;3487020;3513254;3538436;3562521;3585467;3607260;3627893;3647352;3665603;3682634;3698469;3713123;3726600;3738900;3750030;3760007;3768831;3776493;3782994;3788348;3792555;3795598;3797474;3798193;3797772;3796218;3793533;3789728;
ES;32;Espírito Santo;4194227;4235381;4275342;4314082;4351575;4387799;4422761;4456460;4488951;4520294;4550497;4579573;4607514;4634293;4659887;4684303;4707537;4729583;4750444;4770126;4788638;4805975;4822145;4837165;4851048;4863795;4875392;4885838;4895145;4903325;4910373;4916268;4921002;4924594;4927071;4928430;4928667;4927795;
GO;52;Goiás;7388558;7474621;7558218;7639325;7717928;7793996;7867535;7938596;8007509;8074550;8139722;8203076;8264652;8324460;8382474;8438672;8493054;8545629;8596405;8645354;8692452;8737674;8780975;8822329;8861729;8899155;8934557;8967883;8999139;9028359;9055541;9080667;9103727;9124748;9143789;9160881;9176042;9189311;
MA;21;Maranhão;7227850;7263617;7298196;7331577;7363722;7394457;7423684;7451435;7477496;7501621;7523757;7543859;7561948;7578056;7592237;7604454;7614618;7622718;7628776;7632854;7634936;7634954;7632911;7628807;7622680;7614564;7604438;7592288;7578099;7561887;7543659;7523382;7501013;7476542;7449981;7421317;7390534;7357617;
