PIB Estadual - preços de mercado
Sigla;Código;Estado;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;
AC;12;Acre;7564554,00207669;8165287,86712761;9149379,61838214;10483523,3056154;12348985,9747467;12443127,070159;12500000,8042873;12835663,925721;13622057,1064829;13939291,2290999;14796471,0454056;
AL;27;Alagoas;24340231,7008897;28529961,7317634;31248927,9148837;33708089,4246824;37264089,0201385;42260656,4108397;44754657,9578919;47805620,3764586;48892276,4734697;53032293,9624192;57141511,5215034;
AM;13;Amazonas;50384213,3947483;59108111,3872249;59572307,716472;68811996,118883;71897864,7824932;72694786,0957881;75908489,1192624;78497467,001731;84361543,7131152;90725247,7162632;95960716,6136817;
AP;16;Amapá;7601714,63787017;8716745,75771643;10250577,561462;11756075,2116;12372437,9456687;12890800,6522666;13468623,7972645;14472589,6001463;15665017,7824133;16324199,3034472;17212117,9559865;
BA;29;Bahia;135415006,032397;145727055,143592;159295894,222184;178261700,255054;196202842,645;215986136,565469;228329341,797693;236137907,96173;250533839,305303;256468543,801774;268226782,077772;
CE;23;Ceará;69178379,551123;78347417,0030112;84076396,7521467;94869897,8582155;110778790,645171;114643469,984454;121800203,293605;130110016,164848;137104522,959445;143128237,735515;146158796,454247;
DF;53;Distrito Federal;121620222,894696;131630929,966516;138261822,698534;150802935,465945;171201766,019646;186294051,31834;206394425,434707;215601787,690288;226124917,32321;242927103,829427;240381106,228136;
ES;32;Espírito Santo;69817926,8141893;86126685,3903781;95958304,5639909;97681967,228112;109804169,005222;100489687,72488;92228236,180319;95510655,327951;116261868,592356;114812826,459601;114860148,673965;
GO;52;Goiás;93245999,7255695;105126839,787794;122476482,987672;133808285,47346;146560341,656225;154573451,929317;162107294,955091;171301180,171891;173890167,587297;185196920,768166;199832733,137857;
MA;21;Maranhão;41111063,645553;45886793,2586545;52984064,4962197;60028885,5689579;68566330,6816724;69855530,3951119;75908366,7799735;79222988,728956;86982647,2272315;84289359,6061653;94628219,2311381;
MG;31;Minas Gerais;305173970,112006;349632081,956446;387095922,954513;428810427,766084;454153432,497187;457443013,233034;478472742,138858;505075611,862998;538784653,282473;571464979,434878;601083486,793983;
MS;50;Mato Grosso do Sul;41496012,547582;48345892,2620903;54640580,9409942;61246741,8267048;70372618,058682;74316577,0318148;82667189,1354283;86440974,4682868;96183593,5360469;95140961,9468617;109897457,182978;
MT;51;Mato Grosso;49774547,6189157;61600432,7277147;70450157,4176638;78479785,3113834;90811401,9159095;97597774,4833333;111915059,812982;112317863,736877;122694151,417993;126618405,031412;159608851,813832;
PA;15;Pará;75521362,1297568;90541303,8650965;97352055,4512438;110396668,927083;113001639,13269;118312498,868673;124828329,288842;141649038,087486;146889115,113317;161909193,805619;197913639,457636;
PB;25;Paraíba;29853238,6735232;32985146,4538882;37671983,4115131;40987580,0910436;46997294,7253033;50105439,8003075;52838190,1429112;55675475,65268;57209309,4907298;60277218,8476881;62468031,9095923;
PE;26;Pernambuco;82952491,61382;93644413,1639467;108607671,72406;120895706,834561;133320671,024656;134499615,190496;144025380,49972;156332011,085802;159521602,590386;168953198,279145;164769109,169615;
PI;22;Piauí;19670255,4655047;23151793,0225824;25418402,1064885;27848172,4205637;33983743,9736883;35068891,1007024;36989069,1388902;40512961,9920786;44692754,196398;47132529,2264523;50586262,4918046;
PR;41;Paraná;192924561,102122;218851112,680656;242927257,794833;287678617,303816;301106704,229344;326630549,667907;351329556,662175;366028416,486897;382568112,668013;405628786,747913;426369453,206482;
RJ;33;Rio de Janeiro;379412007,722099;436279839,384899;489621324,2856;534960445,849318;579338827,352661;556399222,561495;542132620,871708;563487481,488435;630432574,407067;661054234,646338;654129701,939298;
RN;24;Rio Grande do Norte;32149190,4537919;36403024,2024745;41257031,1729936;45903800,4667358;48235008,6795408;51183888,0302208;53133028,0417386;57389774,2442836;59575710,7348179;63866962,1898245;63816254,3424437;
RO;11;Rondônia;20956957,8454357;24191730,511017;26562867,6249694;27686665,4498885;30376184,4424322;32574075,514326;35384835,5196778;39281048,1061877;40259789,4729368;42037373,3923462;46238114,6793449;
RR;14;Roraima;6067327,16761489;6722044,71243414;7065827,10233616;8339327,91126934;8993027,30912148;9441338,59137065;10177503,6041123;11182830,9069313;12267089,2085581;12996568,708831;14524239,1603771;
RS;43;Rio Grande do Sul;205802706,809358;226373415,444985;245487113,215189;286665159,987001;309927137,600299;333417695,320207;356024947,829225;367103067,67015;396533913,543719;420148101,312252;410001707,60539;
SC;42;Santa Catarina;130469640,606946;146944765,732851;162052287,2483;180971624,080571;204832301,343842;209670421,406081;217913094,017315;233947785,492118;247908034,239271;267891286,89363;289284904,543779;
SE;28;Sergipe;23686833,7950762;26037900,8879116;29358865,7248031;31608662,1186329;33664779,8037069;34508572,5490711;34751900,9618397;36412155,6822024;37281865,05838;39871265,1352845;40687965,0432954;
SP;35;São Paulo;1071840401,67993;1184832820,71611;1286699000,77295;1419426222,2842;1552872896,87085;1626004207,49886;1725307449,73241;1786741788,50464;1852796897,27141;1975310484,22948;2014850308,30472;
TO;17;Tocantins;14809182,2574019;16557454,9811119;18716492,5195935;21641035,4606069;23748712,6640957;26295521,0054646;28531462,4820665;30851837,5822098;32111975,6981573;35538425,7601649;39508909,4157203;
