Ano;Código da Grande Região;Nome da Grande Região;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome da Unidade da Federação;Código do Município;Nome do Município;Região Metropolitana;Código da Mesorregião;Nome da Mesorregião;Código da Microrregião;Nome da Microrregião;Código da Região Geográfica Imediata;Nome da Região Geográfica Imediata;Município da Região Geográfica Imediata;Código da Região Geográfica Intermediária;Nome da Região Geográfica Intermediária;Município da Região Geográfica Intermediária;Código Concentração Urbana;Nome Concentração Urbana;Tipo Concentração Urbana;Código Arranjo Populacional;Nome Arranjo Populacional;Hierarquia Urbana;Hierarquia Urbana (principais categorias);Código da Região Rural;Nome da Região Rural;Região rural (segundo classificação do núcleo);Amazônia Legal;Semiárido;Cidade-Região de São Paulo;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)";"Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)";"Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)";"Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)";"Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)";"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)";"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto
2020;1;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 203.394,42 ; 20.716,40 ; 150.192,43 ; 160.859,63 ; 535.162,88 ; 35.109,45 ; 570.272,33 ; 25.091,18 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2020;1;Norte;11;RO;Rondônia;1100023;Ariquemes;;1102;Leste Rondoniense;11003;Ariquemes;110002;Ariquemes;Polo;1101;Porto Velho;do Entorno;;;;;;Centro Sub-regional B;Centro Sub-regional;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 199.722,71 ; 404.751,76 ; 1.207.405,07 ; 710.513,41 ; 2.522.392,94 ; 295.655,68 ; 2.818.048,62 ; 25.730,20 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2020;1;Norte;11;RO;Rondônia;1100031;Cabixi;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 81.177,10 ; 5.438,03 ; 28.666,97 ; 44.671,07 ; 159.953,18 ; 7.236,64 ; 167.189,81 ; 32.226,25 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
2020;1;Norte;11;RO;Rondônia;1100049;Cacoal;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;Polo;1102;Ji-Paraná;do Entorno;;;;;;Centro Sub-regional B;Centro Sub-regional;5105;Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO);Região Rural de Centro Sub-regional;Sim;Não;Não; 236.214,95 ; 275.536,82 ; 1.157.343,98 ; 575.806,39 ; 2.244.902,15 ; 274.450,53 ; 2.519.352,68 ; 29.331,29 ;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2020;1;Norte;11;RO;Rondônia;1100056;Cerejeiras;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro de Zona B;Centro de Zona;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 94.757,64 ; 23.582,33 ; 276.755,11 ; 115.651,85 ; 510.746,93 ; 89.923,15 ; 600.670,07 ; 37.069,25 ;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2020;1;Norte;11;RO;Rondônia;1100064;Colorado do Oeste;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 88.922,64 ; 24.321,93 ; 118.528,93 ; 111.082,44 ; 342.855,94 ; 24.074,72 ; 366.930,66 ; 23.605,94 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2020;1;Norte;11;RO;Rondônia;1100072;Corumbiara;;1102;Leste Rondoniense;11008;Colorado do Oeste;110006;Vilhena;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 155.647,73 ; 10.847,32 ; 34.749,00 ; 56.937,03 ; 258.181,09 ; 10.199,53 ; 268.380,61 ; 37.171,83 ;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2020;1;Norte;11;RO;Rondônia;1100080;Costa Marques;;1101;Madeira-Guaporé;11002;Guajará-Mirim;110004;Ji-Paraná;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 80.683,53 ; 6.205,43 ; 48.318,22 ; 117.494,76 ; 252.701,94 ; 9.276,31 ; 261.978,24 ; 13.936,50 ;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2020;1;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste;;1102;Leste Rondoniense;11006;Cacoal;110005;Cacoal;do Entorno;1102;Ji-Paraná;do Entorno;;;;;;Centro Local;Centro Local;5105;Região Rural do Centro Sub-regional de Vilhena (RO) e Cacoal (RO);Região Rural de Centro Sub-regional;Sim;Não;Não; 137.801,66 ; 54.520,52 ; 213.512,83 ; 202.211,22 ; 608.046,24 ; 58.284,55 ; 666.330,79 ; 20.380,20 ;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2020;1;Norte;11;RO;Rondônia;1100106;Guajará-Mirim;;1101;Madeira-Guaporé;11002;Guajará-Mirim;110001;Porto Velho;do Entorno;1101;Porto Velho;do Entorno;;;;1100106;Internacional de Guajará-Mirim/Brasil - Guayaramerín/Bolívia;Centro de Zona B;Centro de Zona;1101;Região Rural da Capital Regional de Porto Velho;Região Rural de Capital Regional;Sim;Não;Não; 59.384,46 ; 41.650,07 ; 443.004,73 ; 301.085,56 ; 845.124,82 ; 139.461,34 ; 984.586,16 ; 21.148,43 ;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
